KODEPT,PT,tutup,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID,KETERANGAN VALID,BOBOT VERIFIKASI,KETERANGAN,BOBOT UNGGAH ,KETERANGAN,KLASTER
42021,Institut Teknologi dan Bisnis Riyadlul Ulum,,6,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9%,Belum Tervalidasi,9%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
42019,Institut Teknologi dan Bisnis Visi Nusantara Bogor,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
42028,Institut Teknologi dan Kesehatan Mahardika,,6,6,6,10,10,10,0,3,3,3,3,3,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau
42020,Institut Teknologi Garut,,6,6,6,10,10,10,15,3,0,0,1,0,0,0,2,0,0,6,6,6,63%,Belum Tervalidasi,63%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning
42006,Institut Teknologi Harapan Bangsa,,6,6,6,6,6,6,3,3,3,3,4,3,3,0,2,2,0,6,6,6,60%,Belum Tervalidasi,66%,Belum Terverifikasi,66%,Tidak Lengkap,Hijau
42002,Institut Teknologi Nasional Bandung,,6,6,6,10,10,10,1,3,3,3,2,2,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Kuning
42027,Institut Teknologi Petroleum Balongan,,6,6,6,10,10,10,5,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
42005,Institut Teknologi Sains Bandung,,6,6,6,10,10,10,7,3,0,0,4,4,4,0,7,7,7,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,91%,Tidak Lengkap,Merah
42015,Institut Teknologi Tangerang Selatan,,6,6,6,10,10,10,0,3,3,3,4,4,1,0,1,1,0,6,6,2,60%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning
41129,Lancaster University,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
41103,Monash University Indonesia,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
45022,Politeknik Agroindustri,,6,6,1,9,9,0,0,3,3,3,4,3,0,0,7,7,0,6,0,0,11%,Belum Tervalidasi,71%,Belum Terverifikasi,89%,Tidak Lengkap,Merah
45030,Politeknik Al-Islam Bandung,,6,6,6,6,6,6,5,3,3,3,3,0,0,1,6,6,6,6,6,1,63%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning
45046,Politeknik Bhakti Asih Purwakarta,,6,6,6,10,10,10,0,3,3,3,4,0,0,0,10,10,2,6,3,3,69%,Belum Tervalidasi,91%,Belum Terverifikasi,100%,Sudah Unggah,Kuning
45050,Politeknik Bhakti Kartini,,6,2,1,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,34%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
45004,Politeknik Bina Budaya Cipta,,6,5,5,10,10,10,0,3,3,2,4,4,1,0,3,3,0,0,0,0,49%,Belum Tervalidasi,60%,Belum Terverifikasi,63%,Tidak Lengkap,Merah
45053,Politeknik Bina Madani,,6,6,6,4,4,4,0,3,3,3,0,0,0,0,6,6,6,6,5,5,69%,Belum Tervalidasi,69%,Belum Terverifikasi,71%,Tidak Lengkap,Hijau
45070,Politeknik Bisnis Digital Indonesia,,6,4,4,10,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,31%,Belum Terverifikasi,46%,Tidak Lengkap,Hijau
45055,Politeknik Bisnis Mayasari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
45056,Politeknik Digital Boash Indonesia,,6,6,6,9,9,9,8,3,3,3,1,1,1,0,5,5,5,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
45042,Politeknik Enjinering Indorama,,6,6,6,10,10,10,0,3,3,3,1,0,0,0,9,9,9,6,5,5,94%,Belum Tervalidasi,94%,Belum Terverifikasi,97%,Tidak Lengkap,Merah
45003,Politeknik Gajah Tunggal,,6,1,0,10,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0%,Tidak Ada,3%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
45036,Politeknik Geologi Dan Pertambangan Agp,,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,3%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
45019,Politeknik Gunakarya Indonesia Bekasi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
45061,Politeknik IDN Bogor,,6,6,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,37%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
45048,Politeknik Industri ATMI,,6,6,6,10,3,3,0,3,3,3,1,0,0,2,9,9,0,6,6,1,37%,Belum Tervalidasi,77%,Belum Terverifikasi,97%,Tidak Lengkap,Merah
45066,Politeknik Istikom Bina Citra Informatika,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
45032,Politeknik Kelapa Sawit Citra Widya Edukasi,,6,2,1,10,0,0,0,3,3,3,0,0,0,0,7,0,0,6,1,1,14%,Belum Tervalidasi,17%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning
45025,Politeknik Kent,1,0,0,6,0,0,10,1,0,0,3,0,0,4,0,0,0,3,0,0,6,80%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
45065,Politeknik Kepribadian,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
45045,Politeknik Kesehatan Aisyiyah Banten,,6,6,6,10,10,10,0,2,2,2,0,0,0,0,4,0,0,0,0,0,51%,Belum Tervalidasi,51%,Belum Terverifikasi,63%,Tidak Lengkap,Merah
45033,Politeknik Kesehatan Bhakti Pertiwi Husada,,6,6,6,10,10,10,1,3,3,3,2,1,1,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning
45051,Politeknik Kesehatan Genesis Medicare,,6,6,6,9,9,9,2,3,3,3,3,3,3,0,3,3,3,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Merah
45057,Politeknik Kesehatan KMC Kuningan,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
45034,Politeknik Kesehatan TNI-AU Ciumbuleuit,,6,6,6,5,5,5,0,3,3,3,3,3,3,0,3,3,3,6,5,5,63%,Belum Tervalidasi,63%,Belum Terverifikasi,66%,Tidak Lengkap,Hijau
45059,Politeknik Kesehatan YBA Bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
45006,Politeknik Krakatau,,6,3,2,8,0,0,0,3,3,3,1,0,0,0,8,0,0,6,0,0,14%,Belum Tervalidasi,17%,Belum Terverifikasi,89%,Tidak Lengkap,Kuning
45052,Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,,6,6,6,10,10,10,0,3,3,3,4,0,0,1,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
45069,Politeknik Mardira Indonesia,,6,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,46%,Tidak Lengkap,Hijau
45060,Politeknik Maritim Eka Utama Subang,,6,6,0,10,0,0,0,3,3,2,4,4,0,0,5,5,0,6,5,0,6%,Belum Tervalidasi,54%,Belum Terverifikasi,86%,Tidak Lengkap,Merah
45062,Politeknik Merdeka Belajar Indonesia,,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,26%,Tidak Lengkap,Kuning
45043,Politeknik Meta Industri Cikarang,,6,6,6,9,9,9,6,3,3,2,4,0,0,2,9,9,9,6,6,5,89%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Merah
45002,Politeknik Pajajaran Insan Cinta Bangsa Bandung,,6,6,6,5,5,0,0,3,2,1,1,1,1,0,4,4,0,6,0,0,20%,Belum Tervalidasi,49%,Belum Terverifikasi,69%,Tidak Lengkap,Merah
45044,Politeknik Pariwisata Prima Internasional,,6,5,5,10,10,10,0,3,2,2,1,1,1,0,3,3,3,6,3,3,66%,Belum Tervalidasi,66%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau
45023,Politeknik Perdana Mandiri,,6,6,0,5,5,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0%,Tidak Ada,31%,Belum Terverifikasi,31%,Tidak Lengkap,Kuning
45028,Politeknik PGRI Banten,,6,3,3,6,6,6,1,1,0,0,1,0,0,0,0,0,0,1,1,0,26%,Belum Tervalidasi,29%,Belum Terverifikasi,40%,Tidak Lengkap,Merah
45027,Politeknik Piksi Ganesha,,6,6,6,10,10,10,16,3,3,3,4,4,4,6,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Merah
45010,Politeknik Piksi Input Serang,,6,6,6,5,5,5,0,3,3,3,4,4,3,0,5,5,5,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
45018,Politeknik Praktisi Bandung,,6,6,4,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,46%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
45071,Politeknik Prasetiya Mandiri,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
45047,Politeknik Sains Seni Rekakreasi,,6,5,5,10,10,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,14%,Belum Tervalidasi,43%,Belum Terverifikasi,46%,Tidak Lengkap,Kuning
45067,Politeknik Siber Cerdika Internasional,,6,0,0,10,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,54%,Tidak Lengkap,Kuning
45020,Politeknik Sukabumi,,6,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,43%,Tidak Lengkap,Kuning
45058,Politeknik Takumi,,6,5,5,10,10,10,3,3,3,3,4,0,0,1,6,6,6,6,3,3,77%,Belum Tervalidasi,77%,Belum Terverifikasi,89%,Tidak Lengkap,Kuning
45016,Politeknik TEDC,,6,6,6,10,10,10,1,3,3,3,3,3,3,2,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
45049,Politeknik Tiara Bunda,,6,6,6,10,10,10,4,3,3,3,2,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
45012,Politeknik Tri Mitra Karya Mandiri,,6,6,6,10,10,10,0,3,3,3,0,0,0,0,1,1,1,6,5,5,71%,Belum Tervalidasi,71%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
45037,Politeknik Triguna Tasikmalaya,,6,6,6,10,10,10,0,3,3,3,0,0,0,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
45041,Politeknik Tunas Pemuda,,6,6,6,10,10,10,2,3,3,3,3,1,1,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
45068,Politeknik Yusuf Mansur,,6,1,1,10,0,0,0,3,0,0,1,0,0,0,1,0,0,6,0,0,3%,Belum Tervalidasi,3%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
45063,Politeknik Zanjabila Banten,,6,6,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,37%,Belum Terverifikasi,37%,Tidak Lengkap,Kuning
45029,Politenik Kesehatan Yapkesbi Sukabumi,,6,6,6,6,4,0,14,3,3,2,3,0,0,0,2,2,0,6,6,0,23%,Belum Tervalidasi,60%,Belum Terverifikasi,66%,Tidak Lengkap,Merah
43317,Sekolah Tinggi Analis Bakti Asih,,6,2,2,10,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,20%,Belum Tervalidasi,20%,Belum Terverifikasi,54%,Tidak Lengkap,Merah
43259,Sekolah Tinggi Analis Kimia Cilegon,,6,6,1,6,6,6,1,3,3,3,3,1,1,0,6,6,6,6,6,1,49%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Merah
43272,Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
43246,Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto,,6,6,6,9,8,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,40%,Belum Terverifikasi,43%,Tidak Lengkap,Kuning
43312,Sekolah Tinggi Bahasa Asing IEC Bekasi,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
43131,Sekolah Tinggi Bahasa Asing JIA,,6,6,6,8,8,8,0,3,3,3,0,0,0,0,3,3,3,6,6,0,57%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning
43196,Sekolah Tinggi Bahasa Asing Technocrat,,6,6,6,10,10,10,4,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau
43035,Sekolah Tinggi Bahasa Asing Yapari,,6,6,6,10,10,10,7,3,3,3,3,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
43079,Sekolah Tinggi Desain Indonesia Bandung,,6,6,6,10,10,10,0,3,3,3,4,4,2,0,0,0,0,2,2,2,60%,Belum Tervalidasi,60%,Belum Terverifikasi,60%,Tidak Lengkap,Merah
43191,Sekolah Tinggi Farmasi Indonesia,,6,6,6,10,10,10,7,3,3,3,1,0,0,0,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Merah
43355,Sekolah Tinggi Farmasi Muhammadiyah Cirebon,,6,0,0,6,6,6,1,3,0,0,4,0,0,0,9,0,0,6,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,86%,Tidak Lengkap,Merah
43001,Sekolah Tinggi Hukum Bandung,,6,6,6,10,10,10,0,3,1,1,4,0,0,0,8,0,0,6,0,0,49%,Belum Tervalidasi,49%,Belum Terverifikasi,94%,Tidak Lengkap,Kuning
43002,Sekolah Tinggi Hukum Galunggung,,6,1,1,10,0,0,2,3,0,0,4,0,0,0,10,0,0,6,0,0,3%,Belum Tervalidasi,3%,Belum Terverifikasi,100%,Sudah Unggah,Merah
43029,Sekolah Tinggi Hukum Garut,,6,6,6,3,3,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,34%,Belum Terverifikasi,34%,Tidak Lengkap,Merah
43003,Sekolah Tinggi Hukum Pasundan,,6,6,5,9,9,9,6,3,1,0,4,4,0,0,5,5,5,6,6,6,71%,Belum Tervalidasi,77%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
43042,Sekolah Tinggi Ilmu Administrasi Bagasasi,1,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Merah
43141,Sekolah Tinggi Ilmu Administrasi Bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
43215,Sekolah Tinggi Ilmu Administrasi Banten,,6,0,0,10,0,0,3,3,0,0,4,0,0,0,10,0,0,6,0,0,0%,Tidak Ada,0%,Tidak Ada,100%,Sudah Unggah,Kuning
43255,Sekolah Tinggi Ilmu Administrasi Cimahi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
43010,Sekolah Tinggi Ilmu Administrasi Maulana Yusuf Banten,,6,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,26%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
43033,Sekolah Tinggi Ilmu Administrasi Menara Siswa,,6,6,6,10,10,6,0,3,3,0,4,0,0,0,1,1,0,6,6,0,34%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
43214,Sekolah Tinggi Ilmu Administrasi Sandikta,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14%,Belum Tervalidasi,17%,Belum Terverifikasi,20%,Tidak Lengkap,Merah
43014,Sekolah Tinggi Ilmu Administrasi YPPT Tasikmalaya,,6,6,6,10,10,10,29,3,3,3,0,0,0,0,3,3,0,6,0,0,54%,Belum Tervalidasi,63%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
43391,Sekolah Tinggi Ilmu Ekonomi Arlindo,,6,6,4,10,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20%,Belum Tervalidasi,46%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
43266,Sekolah Tinggi Ilmu Ekonomi Banten,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
43227,Sekolah Tinggi Ilmu Ekonomi BII Bekasi,,6,6,6,10,10,10,0,3,3,3,4,4,1,2,10,0,0,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,100%,Sudah Unggah,Kuning
43180,Sekolah Tinggi Ilmu Ekonomi Bisma Lepisi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
43236,Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,Belum Tervalidasi,6%,Belum Terverifikasi,17%,Tidak Lengkap,Merah
43094,Sekolah Tinggi Ilmu Ekonomi Cirebon,,6,6,6,8,6,6,5,3,2,0,3,0,0,0,1,1,0,6,4,4,46%,Belum Tervalidasi,54%,Belum Terverifikasi,69%,Tidak Lengkap,Merah
43171,Sekolah Tinggi Ilmu Ekonomi Dewantara,,6,0,0,7,7,0,0,3,0,0,1,1,1,0,1,0,0,1,1,0,0%,Tidak Ada,23%,Belum Terverifikasi,51%,Tidak Lengkap,Kuning
43384,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Indonesia,,6,2,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,Belum Tervalidasi,6%,Belum Terverifikasi,37%,Tidak Lengkap,Kuning
43199,Sekolah Tinggi Ilmu Ekonomi Dr Kh Ez Mutaqien,,6,0,0,10,0,0,6,3,0,0,4,0,0,0,10,0,0,6,0,0,0%,Tidak Ada,0%,Tidak Ada,100%,Sudah Unggah,Hijau
43316,Sekolah Tinggi Ilmu Ekonomi Dwimulya,,6,1,1,10,10,6,3,3,3,3,1,1,1,0,1,1,1,6,6,6,49%,Belum Tervalidasi,60%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
43349,Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,,6,6,6,10,10,10,0,3,3,3,3,3,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau
43022,Sekolah Tinggi Ilmu Ekonomi Ekuitas,,6,6,6,10,10,10,6,3,3,3,4,2,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
43127,Sekolah Tinggi Ilmu Ekonomi Fajar,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
43128,Sekolah Tinggi Ilmu Ekonomi Gema Widya Bangsa,,6,6,6,10,10,10,0,3,3,3,1,0,0,1,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
43273,Sekolah Tinggi Ilmu Ekonomi Gici,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
43296,Sekolah Tinggi Ilmu Ekonomi Harapan Bangsa,,6,6,6,6,5,5,3,3,3,3,4,2,2,0,2,2,2,6,6,6,63%,Belum Tervalidasi,63%,Belum Terverifikasi,66%,Tidak Lengkap,Merah
43310,Sekolah Tinggi Ilmu Ekonomi Hidayatullah Depok,,6,3,3,10,4,4,1,3,0,0,2,0,0,0,3,0,0,6,0,0,20%,Belum Tervalidasi,20%,Belum Terverifikasi,80%,Tidak Lengkap,Hijau
43176,Sekolah Tinggi Ilmu Ekonomi Kalpataru,,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,34%,Tidak Lengkap,Merah
43064,Sekolah Tinggi Ilmu Ekonomi La Tansa Mashiro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Kuning
43170,Sekolah Tinggi Ilmu Ekonomi Latifah Mubarokiyah,,6,6,6,10,7,7,3,3,3,3,4,4,4,1,10,10,10,6,6,6,91%,Belum Tervalidasi,91%,Belum Terverifikasi,100%,Sudah Unggah,Hijau
43379,Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,,6,5,5,9,9,9,0,2,2,2,0,0,0,0,1,0,0,0,0,0,46%,Belum Tervalidasi,46%,Belum Terverifikasi,51%,Tidak Lengkap,Merah
43088,Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,,6,6,6,10,10,10,2,3,3,3,0,0,0,0,2,2,2,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Merah
43089,Sekolah Tinggi Ilmu Ekonomi Mulia Pratama,,6,6,6,10,10,10,0,3,3,3,3,3,3,6,10,10,10,6,1,1,86%,Belum Tervalidasi,86%,Belum Terverifikasi,100%,Sudah Unggah,Merah
43149,Sekolah Tinggi Ilmu Ekonomi Pandu Madania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Kuning
43195,Sekolah Tinggi Ilmu Ekonomi Paripurna,,6,6,4,10,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,46%,Belum Terverifikasi,46%,Tidak Lengkap,Kuning
43056,Sekolah Tinggi Ilmu Ekonomi Pariwisata YAPARI,,6,0,0,8,8,0,0,3,0,0,1,0,0,0,9,1,0,6,0,0,0%,Tidak Ada,26%,Belum Terverifikasi,91%,Tidak Lengkap,Merah
43043,Sekolah Tinggi Ilmu Ekonomi Pasundan,,6,6,6,10,10,10,6,3,3,3,2,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
43194,Sekolah Tinggi Ilmu Ekonomi Ppi,,6,6,6,10,10,10,0,3,3,3,0,0,0,1,2,1,0,6,0,0,54%,Belum Tervalidasi,57%,Belum Terverifikasi,77%,Tidak Lengkap,Merah
43153,Sekolah Tinggi Ilmu Ekonomi Stan Im,1,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0,0,4,26%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
43155,Sekolah Tinggi Ilmu Ekonomi Stmy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
43119,Sekolah Tinggi Ilmu Ekonomi Sutaatmadja,,6,6,6,9,9,9,2,3,0,0,0,0,0,0,9,0,0,1,0,0,43%,Belum Tervalidasi,43%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
43096,Sekolah Tinggi Ilmu Ekonomi Tri Bhakti,,6,6,6,9,9,9,0,3,3,3,4,4,4,0,0,0,0,0,0,0,51%,Belum Tervalidasi,51%,Belum Terverifikasi,51%,Tidak Lengkap,Hijau
43181,Sekolah Tinggi Ilmu Ekonomi Tribuana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Kuning
43075,Sekolah Tinggi Ilmu Ekonomi Triguna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Hijau
43390,Sekolah Tinggi Ilmu Ekonomi Triguna,,6,6,6,10,10,10,0,3,3,3,3,0,0,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Kuning
43172,Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,,6,6,3,6,6,5,0,3,3,2,4,4,0,0,1,1,0,6,6,1,31%,Belum Tervalidasi,63%,Belum Terverifikasi,63%,Tidak Lengkap,Merah
43074,Sekolah Tinggi Ilmu Ekonomi Yasa Anggana,,6,6,6,10,10,10,5,3,3,3,4,0,0,0,9,9,9,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Merah
43114,Sekolah Tinggi Ilmu Ekonomi Yasmi,,6,6,5,7,7,4,0,3,3,2,4,4,4,0,4,4,3,6,6,6,57%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
