,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,,10,,,,3,,,,,,,10,,,6,,,35,,35,,35,,,,
,,,,,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,VLD,UNG,VER,VLD,UNG,VER,VLD,% (VLD),,% (VER),,% (UNG),,,,
20,43218,Sekolah Tinggi Teknologi Fatahillah Cilegon,Kabupaten Serang,Meita Lukitawati Sujatna,6,6,6,10,10,10,3,3,3,3,2,2,2,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,Pendataan Berdasarkan PT,
21,43234,Sekolah Tinggi Teknologi Ilmu Komputer (STTIKOM) Insan Unggul,Kota Cilegon,Nan Rahminawati,6,6,6,10,10,10,0,3,3,3,4,3,3,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Verifikasi,Jml.
22,43132,Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,Kota Bogor,Dewi Kurniasih,6,6,6,10,10,10,1,3,3,3,4,2,2,1,10,10,8,6,6,4,89%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,> 80%,98
23,43040,Sekolah Tinggi Teknologi Mandala,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,7,3,3,3,4,4,4,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,141
24,43167,Sekolah Tinggi Teknologi Wastukancana,Kabupaten Purwakarta,Yusep Ikrawan,6,6,6,9,9,9,1,3,3,3,2,2,2,0,8,8,8,6,6,6,91%,Belum Tervalidasi,91%,Belum Terverifikasi,91%,Tidak Lengkap,Hijau,,200
25,43306,STIE Pasim Sukabumi,Kota Sukabumi,Meita Lukitawati Sujatna,6,6,6,10,10,10,27,3,3,3,3,3,3,5,9,9,9,6,6,6,97%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,439
26,43356,STIKES Muhammadiyah Cirebon,Kota Cirebon,Emma Hermawati Muhari,6,6,6,10,10,10,2,3,3,3,4,4,4,0,10,10,10,6,6,5,97%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Unggah,Jml.
27,43348,STIKES Prima Indonesia,Kabupaten Bekasi,Dewi Kurniasih,6,6,6,9,9,9,1,3,0,0,4,0,0,1,10,10,10,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,> 80%,145
28,43027,STMIK Mardira Indonesia,Kota Bandung,Nandi Widarman S,6,6,6,10,10,10,3,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,>= 50% s.d. 80%,157
29,43104,STMIK Tulus Cendekia,Kabupaten Bandung Barat,Nandi Widarman S,6,6,6,10,10,10,0,3,3,3,0,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,< 50%,137
30,41087,Universitas Aisyiyah Bandung,Kota Bandung,Meita Lukitawati Sujatna,6,6,6,10,10,10,4,3,3,3,4,4,4,0,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau,,439
31,41068,Universitas Bhakti Kencana,Kota Bandung,Supriyadi Sadikin,6,6,6,10,10,10,0,3,3,3,4,4,4,0,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,VALIDASI,Jml.
32,41074,Universitas Bina Insani,Kota Bekasi,Nan Rahminawati,6,6,6,10,10,10,3,3,3,3,4,4,4,2,7,7,7,6,6,6,91%,Belum Tervalidasi,91%,Belum Terverifikasi,91%,Tidak Lengkap,Hijau,> 80%,86
33,41019,Universitas Djuanda,Kabupaten Bogor,Yusep Ikrawan,6,6,6,10,10,10,2,3,3,3,3,3,3,2,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,>= 50% s.d. 80%,129
34,41023,Universitas Galuh,Kabupaten Ciamis,Supriyadi Sadikin,6,6,6,10,10,10,11,3,3,3,3,3,3,0,10,10,9,6,6,6,97%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,< 50%,224
35,41066,Universitas Halim sanusi,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,2,3,3,3,4,4,4,0,5,5,5,6,6,6,86%,Belum Tervalidasi,86%,Belum Terverifikasi,86%,Tidak Lengkap,Hijau,,439
36,41084,Universitas Insan Cendekia Mandiri,Kota Bandung,Supriyadi Sadikin,6,6,6,8,8,8,5,3,3,3,3,2,2,0,10,10,10,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,,
37,41106,Universitas Internasional Jakarta,Kabupaten Bekasi,Meita Lukitawati Sujatna,6,6,6,10,10,10,7,3,3,3,0,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,PPEPP,Bobot Max.
38,41002,Universitas Islam Bandung,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,1,3,0,0,2,2,2,1,9,9,9,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,Kebijakan,6
39,41006,Universitas Katolik Parahyangan,Kota Bandung,Yusep Ikrawan,6,6,6,10,10,10,6,3,3,3,3,2,2,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Standar Institusi,10
40,41102,Universitas Koperasi Indonesia,Kabupaten Sumedang,Supriyadi Sadikin,6,6,5,10,10,10,2,3,3,3,3,1,1,1,10,10,10,6,6,3,89%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,AMI,3
41,41007,Universitas Kristen Maranatha,Kota Bandung,Meita Lukitawati Sujatna,6,6,6,10,10,10,4,3,0,0,4,0,0,1,10,10,10,6,6,6,91%,Belum Tervalidasi,91%,Belum Terverifikasi,100%,Sudah Unggah,Hijau,Pengendalian,10
42,41038,Universitas Kuningan,Kabupaten Kuningan,Nanah Sujanah,6,6,6,10,10,10,6,3,3,2,4,4,4,0,10,10,10,6,6,6,97%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Peningkatan,6
43,41043,Universitas Majalengka,Kabupaten Majalengka,Supriyadi Sadikin,6,6,6,10,10,10,6,3,3,3,1,1,1,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,,35
44,41064,Universitas Muhammadiyah Bandung,Kota Bandung,Dewi Kurniasih,6,6,6,10,10,10,1,3,3,3,2,1,1,0,8,8,8,6,6,6,94%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,,
45,41029,Universitas Muhammadiyah Cirebon,Kota Cirebon,Supriyadi Sadikin,6,6,6,10,10,10,1,3,3,3,0,0,0,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Klasifikasi Perguruan Tinggi,
46,41061,Universitas Muhammadiyah Tasikmalaya,Kota Tasikmalaya,Meita Lukitawati Sujatna,6,6,6,10,10,10,5,3,3,3,0,0,0,1,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Hijau,Jenis,Jumlah
